date,0,1
26-02-2017,493610.5121,466644
05-03-2017,463957.0934,480630
12-03-2017,496301.506,495635
19-03-2017,504646.634,496530
26-03-2017,511485.2001,490574
02-04-2017,471486.5824,523460
09-04-2017,505555.5835,542943
16-04-2017,516091.6196,534746
23-04-2017,503455.6352,535895
30-04-2017,524348.8512,568331
07-05-2017,520222.7593,549239
14-05-2017,539631.4858,588219
21-05-2017,560770.4611,645260
28-05-2017,558217.2719,638821
04-06-2017,564605.0152,610747
11-06-2017,570187.7719,603012
18-06-2017,563794.5745,577557
25-06-2017,559570.3911,600499
02-07-2017,536685.5886,547778
09-07-2017,527105.3464,548135
16-07-2017,535121.3511,550035
23-07-2017,550219.1644,527374
30-07-2017,538282.682,488577
06-08-2017,507071.6473,499782
13-08-2017,534492.6114,569704
20-08-2017,532265.1943,491834
27-08-2017,502789.9627,458808
03-09-2017,496638.8526,500687
10-09-2017,501273.7466,470287
17-09-2017,521352.3674,435466
24-09-2017,518507.1768,582791
01-10-2017,551605.2454,558470
08-10-2017,548644.2138,543753
15-10-2017,516549.6249,543385
22-10-2017,511986.7441,508535
29-10-2017,500313.5692,455181
05-11-2017,510699.9652,463596
12-11-2017,492438.4982,487002
19-11-2017,520058.1625,521478
26-11-2017,511384.5022,469477
03-12-2017,514064.9874,491456
10-12-2017,498266.8878,489658
17-12-2017,508714.2603,506834
24-12-2017,505989.8658,601862
31-12-2017,516223.1371,465949
07-01-2018,508913.8055,458844
14-01-2018,513121.9788,517346
21-01-2018,525173.8872,520066
28-01-2018,499664.1261,389270
04-02-2018,464587.3349,465255
11-02-2018,488459.6689,446727
18-02-2018,491024.7472,472327
25-02-2018,512014.1264,471675
04-03-2018,488232.1738,462562
11-03-2018,502304.4867,467984
18-03-2018,498762.0286,489501
25-03-2018,517049.9107,502528
01-04-2018,509467.6937,482642
08-04-2018,503631.2979,503758
15-04-2018,507368.9221,481977
22-04-2018,527956.1518,505540
29-04-2018,529177.1523,527014
06-05-2018,511751.7162,520466
13-05-2018,531884.5875,540392
20-05-2018,530547.1909,551637
27-05-2018,496474.2571,553427
03-06-2018,530621.1415,506914
10-06-2018,499716.4093,369278
17-06-2018,442285.6979,372129
24-06-2018,490833.934,496172
01-07-2018,532023.7748,539397
08-07-2018,536145.201,535759
15-07-2018,531058.727,544531
22-07-2018,532256.1264,539795
29-07-2018,525383.4052,506914
05-08-2018,498783.4873,369278
12-08-2018,454575.7095,337425
19-08-2018,476628.0657,507668
26-08-2018,521816.4919,530351
02-09-2018,534447.0552,531933
09-09-2018,525322.6579,482551
16-09-2018,521679.5349,553386
23-09-2018,539442.1247,602226
30-09-2018,550793.8267,573189
07-10-2018,529018.6832,555514
14-10-2018,540459.919,541885
