Date,tirupati rooms,tirupati temple history,ttd,venkateswara yt,venkateswara swamy,tirupati darshan timings,tirumala,train to tirupati,tirupati,tirupati train,kanipakam,tirupati distance,kalahasti,Pilgrims
26-03-2023,50,10,50,34,49,63,90,40,73,81,70,88,46,483277
02-04-2023,40,18,13,35,52,63,67,42,86,90,66,93,44,517253
09-04-2023,44,21,15,36,50,31,67,35,80,80,65,81,46,489842
16-04-2023,36,15,31,33,49,36,68,33,73,70,53,74,57,456892
23-04-2023,45,15,51,33,48,51,88,37,71,79,60,85,45,473438
30-04-2023,38,18,11,35,49,38,59,32,82,67,57,81,41,501749
07-05-2023,29,15,10,34,47,48,62,34,65,70,63,77,41,506296
14-05-2023,36,18,18,34,48,46,59,37,65,73,64,82,45,545498
21-05-2023,50,7,37,39,54,36,84,40,69,79,72,97,42,560496
28-05-2023,36,17,12,33,52,41,62,40,80,80,65,92,44,546451
04-06-2023,30,10,11,37,54,41,62,37,74,79,65,93,50,566219
11-06-2023,41,24,12,34,49,43,62,37,75,70,65,90,50,549939
18-06-2023,38,18,34,41,55,50,84,33,83,67,63,91,51,529828
25-06-2023,54,6,21,39,63,53,77,35,82,73,70,98,53,515489
02-07-2023,46,14,12,34,54,54,52,36,81,74,80,94,59,531707
09-07-2023,46,17,10,39,52,51,67,35,79,73,62,85,50,516395
16-07-2023,40,21,28,39,55,54,72,31,73,65,55,83,53,517492
23-07-2023,48,18,37,39,55,49,82,31,76,68,70,86,48,517884
30-07-2023,36,34,12,36,52,65,62,34,86,61,70,84,54,500190
06-08-2023,36,21,12,41,50,45,67,34,77,66,69,91,53,515473
13-08-2023,41,14,15,39,57,51,82,31,79,65,66,89,54,514404
20-08-2023,42,20,34,35,55,34,88,36,80,65,56,84,54,492709
27-08-2023,27,27,11,35,55,55,64,33,78,64,57,81,51,493724
03-09-2023,34,16,10,39,50,40,62,29,73,61,64,73,50,514367
10-09-2023,32,18,10,39,45,33,56,27,72,54,69,68,49,478997
17-09-2023,33,31,23,38,49,33,65,25,63,55,86,66,41,474883
24-09-2023,42,26,24,41,47,65,75,35,65,75,79,85,44,490777
01-10-2023,40,15,12,40,50,38,59,30,77,64,71,75,48,519928
